advert	Forward	1343743739	GRE Master Wordlist
advocacy	Forward	1343745597	GRE Master Wordlist
advocate	Forward	1343747847	GRE Master Wordlist
adynaton	Forward	1343743707	GRE Master Wordlist
aegis	Forward	1343745896	GRE Master Wordlist
aerie  (aery,eyrie,eyry)	Forward	1343748072	GRE Master Wordlist
aerogram	Forward	1343743509	GRE Master Wordlist
aesthetic	Forward	1343745341	GRE Master Wordlist
affable	Forward	1343747555	GRE Master Wordlist
affected	Forward	1343745402	GRE Master Wordlist
affidavit	Forward	1343746529	GRE Master Wordlist
affiliation	Forward	1343748243	GRE Master Wordlist
affinity	Forward	1343744876	GRE Master Wordlist
affirmation	Forward	1343745875	GRE Master Wordlist
affliction	Forward	1343744818	GRE Master Wordlist
affluence	Forward	1343745500	GRE Master Wordlist
affront	Forward	1343745207	GRE Master Wordlist
afterlife	Forward	1343746078	GRE Master Wordlist
agape	Forward	1343744517	GRE Master Wordlist
agelast	Card 1	1343743398	GRE Master Wordlist
agenda	Forward	1343743132	GRE Master Wordlist
Aggadah	Card 1	1343743429	GRE Master Wordlist
agglomeration	Forward	1343745930	GRE Master Wordlist
aggrandize	Forward	1343745049	GRE Master Wordlist
aggregate	Forward	1343747945	GRE Master Wordlist
aghast	Forward	1343747749	GRE Master Wordlist
agility	Forward	1343747094	GRE Master Wordlist
agitate	Forward	1343748235	GRE Master Wordlist
agitprop	Card 1	1343743225	GRE Master Wordlist
aglyphous	Card 1	1343743477	GRE Master Wordlist
agnostic	Forward	1343743778	GRE Master Wordlist
agog	Forward	1343745208	GRE Master Wordlist
agrapha	Forward	1343743271	GRE Master Wordlist
agrarian	Forward	1343747391	GRE Master Wordlist
airy	Forward	1343745988	GRE Master Wordlist
alabastrum	Card 1	1343743796	GRE Master Wordlist
alacrity	Forward	1343743456	GRE Master Wordlist
Alan	Card 1	1343743910	GRE Master Wordlist
albescent	Card 1	1343744006	GRE Master Wordlist
alchemy	Forward	1343745317	GRE Master Wordlist
alcove	Forward	1343744928	GRE Master Wordlist
aleatory	Forward	1343743656	GRE Master Wordlist
alectryomancy	Card 1	1343743817	GRE Master Wordlist
alectryomancy	Card 1	1343743861	GRE Master Wordlist
alfresco	Forward	1343744444	GRE Master Wordlist
algolagnia	Forward	1343744063	GRE Master Wordlist
alias	Forward	1343744545	GRE Master Wordlist
alienate	Forward	1343746479	GRE Master Wordlist
alimentary	Forward	1343743324	GRE Master Wordlist
